round,train_logloss,val_pr_auc,time_s
643,0.1851,0.7412,0.1
644,0.185,0.7412,0.1
645,0.1849,0.7411,0.1
646,0.1847,0.7413,0.1
647,0.1846,0.7414,0.1
648,0.1845,0.7414,0.1
649,0.1843,0.7415,0.1
650,0.1841,0.7416,0.1
651,0.184,0.7417,0.1
652,0.184,0.7419,0.1
653,0.1837,0.742,0.1
654,0.1836,0.7421,0.1
655,0.1835,0.7421,0.1
656,0.1834,0.7421,0.1
657,0.1834,0.7422,0.1
658,0.1833,0.7423,0.1
659,0.1831,0.7426,0.1
660,0.1829,0.7427,0.1
661,0.1826,0.7429,0.1
662,0.1825,0.7429,0.1
663,0.1823,0.7431,0.1
664,0.1821,0.7431,0.1
665,0.1819,0.7431,0.1
666,0.1817,0.7434,0.1
667,0.1816,0.7435,0.1
668,0.1814,0.7437,0.1
669,0.1812,0.7438,0.1
670,0.1812,0.744,0.1
671,0.1811,0.7442,0.1
672,0.181,0.7443,0.1
673,0.1809,0.7443,0.1
674,0.1807,0.7445,0.1
675,0.1805,0.7446,0.1
676,0.1804,0.7448,0.1
677,0.1803,0.7448,0.1
678,0.1801,0.7448,0.1
679,0.18,0.745,0.1
680,0.1799,0.745,0.1
681,0.1797,0.7454,0.1
682,0.1795,0.7456,0.1
683,0.1795,0.7457,0.1
684,0.1793,0.7457,0.1
685,0.1791,0.7458,0.1
686,0.179,0.7459,0.1
687,0.1789,0.746,0.1
688,0.1787,0.7462,0.1
689,0.1786,0.7462,0.1
690,0.1785,0.7463,0.1
691,0.1783,0.7466,0.1
692,0.1781,0.7467,0.1
693,0.178,0.7468,0.1
694,0.1779,0.7468,0.1
695,0.1777,0.7468,0.1
696,0.1776,0.7469,0.1
697,0.1774,0.747,0.1
698,0.1772,0.7472,0.1
699,0.177,0.7475,0.1
700,0.1769,0.7476,0.1
701,0.1768,0.7478,0.1
702,0.1766,0.7478,0.1
703,0.1764,0.7481,0.1
704,0.1762,0.7482,0.1
705,0.1761,0.7481,0.1
706,0.176,0.7481,0.1
707,0.176,0.7483,0.1
708,0.1759,0.7483,0.1
709,0.1758,0.7484,0.1
710,0.1756,0.7487,0.1
711,0.1754,0.7488,0.1
712,0.1753,0.7489,0.1
713,0.1752,0.7491,0.1
714,0.1752,0.7491,0.1
715,0.175,0.7491,0.1
716,0.1749,0.7491,0.1
717,0.1747,0.7493,0.1
718,0.1746,0.7492,0.1
719,0.1745,0.7493,0.1
720,0.1743,0.7495,0.1
721,0.1741,0.7497,0.1
722,0.1741,0.7499,0.1
723,0.174,0.7499,0.1
724,0.1739,0.75,0.1
725,0.1738,0.7501,0.1
726,0.1736,0.7501,0.1
727,0.1735,0.7503,0.1
728,0.1734,0.7505,0.1
729,0.1733,0.7508,0.1
730,0.1732,0.7509,0.1
731,0.1732,0.751,0.1
732,0.173,0.751,0.1
733,0.173,0.7509,0.1
734,0.1728,0.751,0.1
735,0.1727,0.7514,0.1
736,0.1727,0.7515,0.1
737,0.1726,0.7515,0.1
738,0.1725,0.7516,0.1
739,0.1723,0.7518,0.1
740,0.1722,0.7519,0.1
741,0.172,0.752,0.1
742,0.1719,0.752,0.1
743,0.1718,0.7521,0.1
744,0.1717,0.7523,0.1
745,0.1716,0.7524,0.1
746,0.1714,0.7525,0.1
747,0.1713,0.7528,0.1
748,0.1712,0.7529,0.1
749,0.171,0.7529,0.1
750,0.1708,0.753,0.1
751,0.1706,0.7531,0.1
752,0.1705,0.7532,0.1
753,0.1703,0.7533,0.1
754,0.1702,0.7534,0.1
755,0.1701,0.7535,0.1
756,0.17,0.7535,0.1
757,0.1698,0.7537,0.1
758,0.1697,0.7538,0.1
759,0.1696,0.7539,0.1
760,0.1695,0.754,0.1
761,0.1694,0.754,0.1
762,0.1693,0.7542,0.1
763,0.1692,0.7542,0.1
764,0.1691,0.7542,0.1
765,0.169,0.7544,0.1
766,0.1689,0.7545,0.1
767,0.1687,0.7546,0.1
768,0.1686,0.7548,0.1
769,0.1684,0.755,0.1
770,0.1683,0.7552,0.1
771,0.1682,0.7553,0.1
772,0.1681,0.7553,0.1
773,0.168,0.7554,0.1
774,0.1678,0.7557,0.1
775,0.1678,0.7557,0.1
776,0.1676,0.7559,0.1
777,0.1675,0.7559,0.1
778,0.1673,0.756,0.1
779,0.1671,0.7561,0.1
780,0.1669,0.7564,0.1
781,0.1667,0.7563,0.1
782,0.1666,0.7564,0.1
783,0.1665,0.7566,0.1
784,0.1663,0.7569,0.1
785,0.1662,0.757,0.1
786,0.1661,0.7571,0.1
787,0.166,0.7571,0.1
788,0.1658,0.7572,0.1
789,0.1657,0.7573,0.1
790,0.1656,0.7573,0.1
791,0.1654,0.7574,0.1
792,0.1652,0.7577,0.1
793,0.165,0.7579,0.1
794,0.1649,0.7581,0.1
795,0.1648,0.7582,0.1
796,0.1646,0.7583,0.1
797,0.1645,0.7585,0.1
798,0.1643,0.7586,0.1
799,0.1642,0.7588,0.1
800,0.1641,0.7589,0.1
801,0.1639,0.7591,0.1
802,0.1639,0.7593,0.1
803,0.1638,0.7595,0.1
804,0.1637,0.7595,0.1
805,0.1637,0.7595,0.1
806,0.1636,0.7595,0.1
807,0.1634,0.7595,0.1
808,0.1634,0.7595,0.1
809,0.1633,0.7595,0.1
810,0.1632,0.7595,0.1
811,0.163,0.7597,0.1
812,0.1628,0.7597,0.1
813,0.1627,0.7598,0.1
814,0.1625,0.7601,0.1
815,0.1625,0.7602,0.1
816,0.1624,0.7603,0.1
817,0.1623,0.7603,0.1
818,0.1621,0.7603,0.1
819,0.1619,0.7603,0.1
820,0.1619,0.7604,0.1
821,0.1618,0.7605,0.1
822,0.1616,0.7606,0.1
823,0.1615,0.7607,0.1
824,0.1614,0.761,0.1
825,0.1613,0.761,0.1
826,0.1612,0.761,0.1
827,0.161,0.761,0.1
828,0.1609,0.7611,0.1
829,0.1607,0.7612,0.1
830,0.1606,0.7615,0.1
831,0.1605,0.7615,0.1
832,0.1604,0.7616,0.1
833,0.1603,0.7616,0.1
834,0.1602,0.7617,0.1
835,0.16,0.7618,0.1
836,0.1599,0.762,0.1
837,0.1597,0.7621,0.1
838,0.1596,0.7622,0.1
839,0.1594,0.7624,0.1
840,0.1592,0.7625,0.1
841,0.1592,0.7624,0.1
842,0.1591,0.7625,0.1
843,0.1589,0.7627,0.1
844,0.1588,0.7627,0.1
845,0.1586,0.7627,0.1
846,0.1585,0.7629,0.1
847,0.1583,0.7631,0.1
848,0.1582,0.7631,0.1
849,0.1581,0.7631,0.1
850,0.1581,0.7632,0.1
851,0.158,0.7632,0.1
852,0.1579,0.7633,0.1
853,0.1578,0.7635,0.1
854,0.1577,0.7636,0.1
855,0.1577,0.7638,0.1
856,0.1576,0.7637,0.1
857,0.1574,0.764,0.1
858,0.1572,0.7642,0.1
859,0.1571,0.7642,0.1
860,0.1569,0.7641,0.1
861,0.1568,0.7643,0.1
862,0.1567,0.7646,0.1
863,0.1566,0.7647,0.1
864,0.1566,0.7648,0.1
865,0.1565,0.7647,0.1
866,0.1563,0.7649,0.1
867,0.1562,0.7652,0.1
868,0.1561,0.7654,0.1
869,0.156,0.7653,0.1
870,0.1558,0.7654,0.1
871,0.1557,0.7655,0.1
872,0.1556,0.7655,0.1
873,0.1556,0.7655,0.1
874,0.1554,0.7657,0.1
875,0.1553,0.7658,0.1
876,0.1552,0.7658,0.1
877,0.1551,0.7658,0.1
